company_name,company_symbol,date_uploaded,report_text,quarter,year,pdf_url
Unknown Company (DIPD),DIPD,02 Feb 201408:30 AM,Interim Financial Statements as of 31-12-2013,Q4,2013,https://cdn.cse.lk/cmt/upload_report_file/670_1391424199.pdf
Unknown Company (DIPD),DIPD,28 Oct 201309:30 AM,Quarterly Financial Report as of 30-09-2013,Q3,2013,https://cdn.cse.lk/cmt/upload_report_file/670_1383043196791.pdf
Unknown Company (DIPD),DIPD,30 Jul 201309:30 AM,Interim Financial Statements as at 30-06-2013,Q2,2013,https://cdn.cse.lk/cmt/upload_report_file/670_1375242887055.pdf
Unknown Company (DIPD),DIPD,14 May 201309:30 AM,Interim Financial Statements as at 31/03/ 2013,,,https://cdn.cse.lk/cmt/upload_report_file/670_1368615065525.pdf
Unknown Company (DIPD),DIPD,05 Feb 201308:30 AM,Interim Financial Statements as at 31-12-2012,Q4,2012,https://cdn.cse.lk/cmt/upload_report_file/670_1360143525.pdf
Unknown Company (DIPD),DIPD,30 Oct 201209:30 AM,Interim Financial Statements as at 30-09-2012,Q3,2012,https://cdn.cse.lk/cmt/upload_report_file/670_1351681183.pdf
Unknown Company (DIPD),DIPD,01 Aug 201209:30 AM,Interim Financial Statements as at 30-06-2012,Q2,2012,https://cdn.cse.lk/cmt/upload_report_file/670_1343902578685.pdf
Unknown Company (DIPD),DIPD,13 May 201209:30 AM,Quarterly Financial Statements as of 31-03-2012,Q1,2012,https://cdn.cse.lk/cmt/upload_report_file/670_1336993801.pdf
Unknown Company (REXP),REXP,10 Feb 202501:11 AM,Interim Financial Statements as at 31-12-2024,Q4,2024,https://cdn.cse.lk/cmt/upload_report_file/771_1739185871059.pdf
Unknown Company (REXP),REXP,06 Nov 202401:43 AM,Interim Financial Statements as at 30-09-2024,Q3,2024,https://cdn.cse.lk/cmt/upload_report_file/771_1730893408597.pdf
Unknown Company (REXP),REXP,31 Jul 202402:06 AM,Interim Financial Statements as at 30-06-2024,Q2,2024,https://cdn.cse.lk/cmt/upload_report_file/771_1722423990922.pdf
Unknown Company (REXP),REXP,31 May 202405:11 AM,Interim Financial Statements as at 31.03.2024,,,https://cdn.cse.lk/cmt/upload_report_file/771_1717164700029.pdf
Unknown Company (REXP),REXP,15 Feb 202401:24 AM,Interim Financial Statements as at 31.12.2023,,,https://cdn.cse.lk/cmt/upload_report_file/771_1707996295121.pdf
Unknown Company (REXP),REXP,15 Nov 202301:55 AM,Interim Financial Statements as at 30.09.2023,,,https://cdn.cse.lk/cmt/upload_report_file/771_1700049312897.pdf
Unknown Company (REXP),REXP,15 Aug 202312:17 AM,Interim Financial Statement First Quater -2023- Richard Pieris Exports PLC,,,https://cdn.cse.lk/cmt/upload_report_file/771_1692091050740.pdf
Unknown Company (REXP),REXP,31 May 202312:58 AM,Interim Financial Statement Fourth Quater -2022/2023,,,https://cdn.cse.lk/cmt/upload_report_file/771_1685527094110.pdf
Unknown Company (REXP),REXP,14 Feb 202311:43 PM,Interim Financial Statement Third Quater -2022/2023,,,https://cdn.cse.lk/cmt/upload_report_file/771_1676454189961.pdf
Unknown Company (REXP),REXP,13 Nov 202211:40 PM,Interim Financial Statement Second Quater -2022 -RPE,,,https://cdn.cse.lk/cmt/upload_report_file/771_1668418805462.pdf
Unknown Company (REXP),REXP,15 Aug 202202:48 AM,Interim Financial Statements as of 30-06-2022,Q2,2022,https://cdn.cse.lk/cmt/upload_report_file/771_1660564139519.pdf
Unknown Company (REXP),REXP,31 May 202202:06 AM,Financial statements as at 31st March 2022,,,https://cdn.cse.lk/cmt/upload_report_file/771_1653995188360.pdf
Unknown Company (REXP),REXP,14 Feb 202212:56 AM,Interim Financial Statements -03rd Quarter 2021/2022,,,https://cdn.cse.lk/cmt/upload_report_file/771_1644836215124.pdf
Unknown Company (REXP),REXP,12 Nov 202101:02 AM,Interim Financial Statements as of 30/09/2021,Q3,2021,https://cdn.cse.lk/cmt/upload_report_file/771_1636714927222.pdf
Unknown Company (REXP),REXP,11 Aug 202112:46 AM,Interim Financial Statements -01st Quarter 30th June 2021,,,https://cdn.cse.lk/cmt/upload_report_file/771_1628675183559.pdf
Unknown Company (REXP),REXP,31 May 202112:46 AM,Interim Financial Statements -04th Quarter,,,https://cdn.cse.lk/cmt/upload_report_file/771_1622454363109.pdf
Unknown Company (REXP),REXP,10 Feb 202111:55 PM,Quarterly Financial Report as of 12/31/2020,,,https://cdn.cse.lk/cmt/upload_report_file/771_1613037343820.pdf
Unknown Company (REXP),REXP,12 Nov 202011:44 PM,Quarterly Financial Report as of 30/09/2020,Q3,2020,https://cdn.cse.lk/cmt/upload_report_file/771_1605260669510.pdf
Unknown Company (REXP),REXP,14 Aug 202012:54 AM,Quarterly Financial Report as of 30/06/2020,Q2,2020,https://cdn.cse.lk/cmt/upload_report_file/771_1597398890735.xls.pdf
Unknown Company (REXP),REXP,14 Aug 202012:52 AM,Quarterly Financial Report as of 31/03/2020,Q1,2020,https://cdn.cse.lk/cmt/upload_report_file/771_1597398727480.pdf
Unknown Company (REXP),REXP,11 Feb 202011:48 PM,Interim Financial Statements as at 31.12.2019,,,https://cdn.cse.lk/cmt/upload_report_file/771_1581500882845.pdf
Unknown Company (REXP),REXP,12 Nov 201911:49 PM,Quarterly Financial Report as of 30/09/2019,Q3,2019,https://cdn.cse.lk/cmt/upload_report_file/771_1573638562154.pdf
Unknown Company (REXP),REXP,13 Aug 201912:58 AM,Quarterly Financial Report as of 30/06/2019,Q2,2019,https://cdn.cse.lk/cmt/upload_report_file/771_1565690323856.pdf
Unknown Company (REXP),REXP,30 May 201909:30 AM,Quarterly Financial Report as of 31/03/2019,Q1,2019,https://cdn.cse.lk/cmt/upload_report_file/771_1559298478080.pdf
Unknown Company (REXP),REXP,13 Feb 201908:30 AM,Quarterly Financial Report as of 31/12/2018,Q4,2018,https://cdn.cse.lk/cmt/upload_report_file/771_1550138060839.pdf
Unknown Company (REXP),REXP,13 Nov 201808:30 AM,Quarterly Financial Report as of 30/09/2018,Q3,2018,https://cdn.cse.lk/cmt/upload_report_file/771_1542189664140.pdf
